2022-08-28 09:55:52,862 | MainThread   | INFO  | Got logger
2022-08-28 09:55:53,067 | MainThread   | INFO  | Got logger
2022-08-28 09:55:53,251 | MainThread   | INFO  | Got logger
2022-08-28 16:02:47,306 | MainThread   | INFO  | Got logger
2022-08-28 16:02:52,957 | MainThread   | INFO  | Got logger
2022-08-28 16:03:32,944 | MainThread   | INFO  | Got logger
2022-08-28 16:03:38,587 | MainThread   | INFO  | Got logger
2022-08-28 16:05:56,074 | MainThread   | INFO  | Got logger
2022-08-28 16:06:09,879 | MainThread   | INFO  | Got logger
2022-08-28 16:06:18,486 | MainThread   | INFO  | Got logger
2022-08-28 16:58:27,870 | MainThread   | INFO  | Got logger
2022-08-28 17:00:40,999 | MainThread   | INFO  | Got logger
2022-08-29 09:28:43,801 | MainThread   | INFO  | Got logger
2022-08-29 09:28:58,829 | MainThread   | INFO  | Got logger
2022-08-29 10:34:32,171 | MainThread   | INFO  | Got logger
2022-08-29 10:34:39,620 | MainThread   | INFO  | Got logger
2022-08-29 10:35:59,349 | MainThread   | INFO  | Got logger
2022-08-30 10:01:19,270 | MainThread   | INFO  | Got logger
2022-08-30 10:01:46,042 | MainThread   | INFO  | Got logger
2022-08-30 10:52:40,331 | MainThread   | INFO  | Got logger
2022-08-30 10:55:25,985 | MainThread   | INFO  | Got logger
2022-08-30 10:57:08,611 | MainThread   | INFO  | Got logger
2022-08-30 10:57:25,293 | MainThread   | INFO  | Got logger
2022-08-30 11:07:28,911 | MainThread   | INFO  | Got logger
2022-08-30 11:07:31,340 | MainThread   | INFO  | Got logger
2022-08-30 11:07:37,309 | MainThread   | INFO  | Got logger
2022-08-30 11:07:54,116 | MainThread   | INFO  | Got logger
2022-08-30 11:08:00,234 | MainThread   | INFO  | Got logger
2022-08-30 11:09:13,000 | MainThread   | INFO  | Got logger
2022-08-30 11:09:17,437 | MainThread   | INFO  | Got logger
2022-08-30 14:39:59,474 | MainThread   | INFO  | Got logger
2022-08-30 14:47:19,619 | MainThread   | INFO  | Got logger
2022-08-30 14:47:50,149 | MainThread   | INFO  | Got logger
2022-08-30 15:39:12,232 | MainThread   | INFO  | Got logger
2022-08-31 11:04:39,284 | MainThread   | INFO  | Got logger
Setting marker here ( checking if chrontab is running )
2022-09-03 10:50:22,138 | MainThread   | INFO  | Got logger
2022-09-03 10:54:05,352 | MainThread   | INFO  | Got logger
2022-09-03 10:55:44,883 | MainThread   | INFO  | Got logger
2022-09-03 11:02:07,409 | MainThread   | INFO  | Got logger
2022-09-03 11:02:18,590 | MainThread   | INFO  | Got logger
2022-09-03 11:02:27,335 | MainThread   | INFO  | Got logger
Things are working when run from terminal. Further investigation required!  
2022-09-03 12:12:08,714 | MainThread   | INFO  | Got logger
2022-09-03 12:12:33,149 | MainThread   | INFO  | Got logger
2022-09-04 09:51:22,655 | MainThread   | INFO  | Got logger
2022-09-04 09:52:25,229 | MainThread   | INFO  | Got logger
2022-09-04 09:52:32,651 | MainThread   | INFO  | Got logger
2022-09-04 09:56:31,369 | MainThread   | INFO  | Got logger
2022-09-04 10:00:17,505 | MainThread   | INFO  | Got logger
2022-09-04 10:00:48,371 | MainThread   | INFO  | Got logger
2022-09-04 10:01:13,434 | MainThread   | INFO  | Got logger
2022-09-04 10:02:13,056 | MainThread   | INFO  | Got logger
2022-09-04 10:03:04,602 | MainThread   | INFO  | Got logger
2022-09-04 10:38:13,795 | MainThread   | INFO  | Got logger
2022-09-04 13:12:27,235 | MainThread   | INFO  | Got logger
2022-09-06 11:52:06,695 | MainThread   | INFO  | Got logger
2022-09-07 09:57:15,496 | MainThread   | INFO  | Got logger
2022-09-07 10:00:14,458 | MainThread   | INFO  | Got logger
2022-09-07 10:04:06,279 | MainThread   | INFO  | Got logger
2022-09-07 10:06:48,404 | MainThread   | INFO  | Got logger
2022-09-07 10:07:11,296 | MainThread   | INFO  | Got logger
2022-09-07 10:07:33,513 | MainThread   | INFO  | Got logger
2022-09-07 10:08:16,925 | MainThread   | INFO  | Got logger
2022-09-07 10:09:39,405 | MainThread   | INFO  | Got logger
2022-09-07 10:10:37,979 | MainThread   | INFO  | Got logger
2022-09-07 10:11:19,067 | MainThread   | INFO  | Got logger
2022-09-07 10:12:28,306 | MainThread   | INFO  | Got logger
2022-09-07 10:13:06,541 | MainThread   | INFO  | Got logger
2022-09-07 10:13:41,080 | MainThread   | INFO  | Got logger
2022-09-07 10:14:58,108 | MainThread   | INFO  | Got logger
2022-09-07 10:15:36,643 | MainThread   | INFO  | Got logger
2022-09-07 10:15:55,636 | MainThread   | INFO  | Got logger
2022-09-07 10:16:18,004 | MainThread   | INFO  | Got logger
2022-09-07 10:24:21,544 | MainThread   | INFO  | Got logger
2022-09-07 10:25:06,572 | MainThread   | INFO  | Got logger
2022-09-07 10:27:46,846 | MainThread   | INFO  | Got logger
2022-09-07 10:28:27,259 | MainThread   | INFO  | Got logger
2022-09-07 10:28:43,719 | MainThread   | INFO  | Got logger
2022-09-07 10:28:57,401 | MainThread   | INFO  | Got logger
2022-09-07 10:29:08,738 | MainThread   | INFO  | Got logger
2022-09-07 10:29:47,270 | MainThread   | INFO  | Got logger
2022-09-07 10:30:03,090 | MainThread   | INFO  | Got logger
2022-09-07 10:30:20,005 | MainThread   | INFO  | Got logger
2022-09-07 10:30:32,384 | MainThread   | INFO  | Got logger
2022-09-07 10:30:49,275 | MainThread   | INFO  | Got logger
2022-09-07 10:31:51,137 | MainThread   | INFO  | Got logger
2022-09-07 10:32:24,120 | MainThread   | INFO  | Got logger
2022-09-07 10:34:05,341 | MainThread   | INFO  | Got logger
2022-09-07 10:37:16,614 | MainThread   | INFO  | Got logger
2022-09-07 10:41:02,520 | MainThread   | INFO  | Got logger
2022-09-07 10:41:31,221 | MainThread   | INFO  | Got logger
2022-09-07 10:42:41,075 | MainThread   | INFO  | Got logger
2022-09-07 10:43:02,327 | MainThread   | INFO  | Got logger
2022-09-07 10:43:34,232 | MainThread   | INFO  | Got logger
2022-09-07 10:44:04,997 | MainThread   | INFO  | Got logger
2022-09-07 10:44:21,684 | MainThread   | INFO  | Got logger
2022-09-07 10:46:06,715 | MainThread   | INFO  | Got logger
2022-09-07 10:46:46,873 | MainThread   | INFO  | Got logger
2022-09-07 10:47:13,647 | MainThread   | INFO  | Got logger
2022-09-07 10:49:48,012 | MainThread   | INFO  | Got logger
2022-09-07 10:50:24,660 | MainThread   | INFO  | Got logger
2022-09-07 10:51:18,584 | MainThread   | INFO  | Got logger
2022-09-07 10:51:52,770 | MainThread   | INFO  | Got logger
2022-09-07 11:06:23,212 | MainThread   | INFO  | Got logger
2022-09-07 11:17:50,102 | MainThread   | INFO  | Got logger
2022-09-07 11:18:05,999 | MainThread   | INFO  | Got logger
2022-09-07 11:19:29,214 | MainThread   | INFO  | Got logger
2022-09-07 11:25:08,307 | MainThread   | INFO  | Got logger
2022-09-07 11:25:24,217 | MainThread   | INFO  | Got logger
2022-09-07 11:26:24,490 | MainThread   | INFO  | Got logger
2022-09-07 11:27:27,972 | MainThread   | INFO  | Got logger
2022-09-07 11:27:37,033 | MainThread   | INFO  | Got logger
2022-09-07 11:28:11,828 | MainThread   | INFO  | Got logger
2022-09-07 14:25:23,563 | MainThread   | INFO  | Got logger
2022-09-07 16:37:40,210 | MainThread   | INFO  | Got logger
2022-09-10 11:36:33,835 | MainThread   | INFO  | Got logger
2022-09-10 11:37:05,656 | MainThread   | INFO  | Got logger
2022-09-10 11:37:36,529 | MainThread   | INFO  | Got logger
2022-09-10 11:37:49,393 | MainThread   | INFO  | Got logger
2022-09-10 11:37:59,953 | MainThread   | INFO  | Got logger
2022-09-10 11:40:24,819 | MainThread   | INFO  | Got logger
2022-09-10 11:42:34,723 | MainThread   | INFO  | Got logger
2022-09-10 11:47:57,492 | MainThread   | INFO  | Got logger
2022-09-10 11:48:22,923 | MainThread   | INFO  | Got logger
2022-09-11 10:30:41,331 | MainThread   | INFO  | Got logger
2022-09-11 10:31:29,577 | MainThread   | INFO  | Got logger
2022-09-11 10:31:37,255 | MainThread   | INFO  | Got logger
2022-09-11 10:45:31,609 | MainThread   | INFO  | Got logger
2022-09-11 10:58:42,045 | MainThread   | INFO  | Got logger
2022-09-11 11:19:19,839 | MainThread   | INFO  | Got logger
2022-09-11 11:19:36,531 | MainThread   | INFO  | Got logger
2022-09-11 11:19:52,922 | MainThread   | INFO  | Got logger
2022-09-11 11:20:14,243 | MainThread   | INFO  | Got logger
2022-09-11 11:23:59,002 | MainThread   | INFO  | Got logger
2022-09-11 11:24:21,822 | MainThread   | INFO  | Got logger
2022-09-11 11:24:41,450 | MainThread   | INFO  | Got logger
2022-09-11 11:30:38,296 | MainThread   | INFO  | Got logger
2022-09-11 11:31:34,400 | MainThread   | INFO  | Got logger
2022-09-11 11:37:31,744 | MainThread   | INFO  | Got logger
2022-09-11 11:38:00,544 | MainThread   | INFO  | Got logger
2022-09-11 11:39:34,099 | MainThread   | INFO  | Got logger
2022-09-11 11:47:54,449 | MainThread   | INFO  | Got logger
2022-09-11 11:49:05,681 | MainThread   | INFO  | Got logger
2022-09-11 12:19:33,737 | MainThread   | INFO  | Got logger
2022-09-11 12:19:55,450 | MainThread   | INFO  | Got logger
2022-09-11 12:20:08,752 | MainThread   | INFO  | Got logger
2022-09-16 11:29:47,946 | MainThread   | INFO  | Got logger
2022-09-16 11:31:00,999 | MainThread   | INFO  | Got logger
2022-09-16 11:32:54,288 | MainThread   | INFO  | Got logger
2022-09-16 11:33:31,668 | MainThread   | INFO  | Got logger
2022-09-16 11:37:32,310 | MainThread   | INFO  | Got logger
2022-09-16 11:38:33,096 | MainThread   | INFO  | Got logger
2022-09-16 11:46:09,053 | MainThread   | INFO  | Got logger
2022-09-16 11:53:10,088 | MainThread   | INFO  | Got logger
2022-09-16 11:53:26,499 | MainThread   | INFO  | Got logger
2022-09-20 15:48:26,974 | MainThread   | INFO  | Got logger
2022-09-20 15:48:30,544 | MainThread   | INFO  | Got logger
2022-09-20 15:50:06,449 | MainThread   | INFO  | Got logger
2022-09-20 15:54:41,776 | MainThread   | INFO  | Got logger
